item,P0_null_share,P0_mean,P0_p50,P0_p90,P1_null_share,P1_mean,P1_p50,P1_p90,P0_firing_rate_recorded,P0_firing_rate_prereg_def_null_gex,P1_firing_rate_recorded,P1_firing_rate_prereg_def_null_gex,P0_tf_short,P0_tf_swing,P0_tf_long,P1_tf_short,P1_tf_swing,P1_tf_long,P0_rows_at_84.9_or_79.9,P1_rows_at_84.9_or_79.9
projection_score,0.464161,67.888041,67.3742,89.60003,0.352214,57.661904,58.06945,82.06793,,,,,,,,,,,,
technical_structure_score,0.0,68.852138,69.15,90.5,0.0,69.688462,73.7517,87.5,,,,,,,,,,,,
flow_strength_score,0.001274,62.133539,67.3714,75.2942,0.001302,59.780616,65.27725,74.11485,,,,,,,,,,,,
catalyst_event_score,0.0,79.990443,80.0,80.0,0.0,79.586589,80.0,82.0,,,,,,,,,,,,
fundamental_quality_score,0.437719,54.162506,45.9057,100.0,0.021159,52.691859,44.0525,100.0,,,,,,,,,,,,
gex_alignment_score,0.310608,43.912177,45.0,60.0,0.01237,45.535135,47.0,61.0,,,,,,,,,,,,
smart_money_confirmation_score,1.0,,,,1.0,,,,,,,,,,,,,,,
cross_layer_bonus,,2.599554,3.0,6.0,,3.044922,3.0,6.0,,,,,,,,,,,,
conflict_penalty,,2.632367,0.0,8.0,,3.430339,0.0,13.0,,,,,,,,,,,,
missing_data_penalty,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
gex_missing_offset,,0.025486,0.0,0.0,,0.061849,0.0,0.0,0.005097,0.310608,0.01237,0.01237,,,,,,,,
completeness_score,,99.994855,100.0,100.0,,99.964931,100.0,100.0,,,,,,,,,,,,
best_timeframe_mix,,0.670277,1.0,2.0,,0.649414,0.0,2.0,,,,,0.486779,0.356164,0.157056,0.507161,0.336263,0.156576,,
atr_elite_cap,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
