step,component,cumulative_share,cum_ci_lo,cum_ci_hi,incremental_share,inc_ci_lo,inc_ci_hi,marginal_share
1,projection_score,0.56,0.175089,2.641964,0.56,0.175089,2.641964,0.56
2,technical_structure_score,0.7744,0.313612,4.171253,0.2144,0.0,1.457286,0.1376
3,flow_strength_score,1.4912,0.570178,6.56774,0.7168,0.074655,2.281829,0.08
4,catalyst_event_score,1.36,0.539775,6.364904,-0.1312,-0.471508,0.160656,0.08
5,fundamental_quality_score,1.4176,0.544402,6.463439,0.0576,0.0,0.154659,0.064
6,gex_alignment_score,1.4176,0.544402,6.463439,0.0,0.0,0.0,0.0
7,smart_money_confirmation_score,1.4176,0.544402,6.463439,0.0,0.0,0.0,0.0
8,conflict_penalty,1.4176,0.544402,6.463439,0.0,0.0,0.0,0.0
9,missing_data_penalty,1.4176,0.544402,6.463439,0.0,0.0,0.0,0.0
10,completeness_score,1.4176,0.544402,6.463439,0.0,0.0,0.0,0.0
11,best_timeframe_mix,1.408,0.543402,6.409388,-0.0096,-0.101933,0.103571,0.0
12,atr_elite_cap,1.408,0.543402,6.409388,0.0,0.0,0.0,0.0
13,cross_layer_bonus,1.4112,0.560524,6.468012,0.0032,-0.197725,0.281093,-0.0032
14,gex_missing_offset,1.3792,0.554493,5.728818,-0.032,-0.316729,0.0,-0.048
