effective_date,from_hash,to_hash,n_keys_changed,n_behavioural,categories,nights_before,nights_after,evaluable_floor,elite_per_night_before,elite_per_night_after,diff_after_minus_before,p_perm_two_sided,p_exact_poisson_one_sided_less,local20_before,local20_after,local20_n_before,local20_n_after,brackets_the_fall
2026-04-02,31e4469fa4f4,6d5c0496833b,1,1,flag,1,106,False,1.0,0.377358,-0.622642,0.356164,0.319535,1.0,0.35,1,20,False
2026-05-01,6d5c0496833b,7a553a06ade8,3,3,flag,21,86,True,0.380952,0.383721,0.002769,1.0,0.569662,0.35,0.65,20,20,False
2026-05-04,7a553a06ade8,6d5c0496833b,3,3,flag,22,85,True,0.409091,0.376471,-0.03262,0.827917,0.473884,0.35,0.6,20,20,False
2026-05-05,6d5c0496833b,33235596f733,1,1,flag,23,84,True,0.434783,0.369048,-0.065735,0.662634,0.384161,0.3,0.55,20,20,False
2026-05-15,33235596f733,f7c5a4cb49be,18,17,"flag,threshold/parameter,weight",27,80,True,0.555556,0.325,-0.230556,0.062394,0.071427,0.5,0.35,20,20,False
2026-06-02,f7c5a4cb49be,d5aec512d4e2,2,2,flag,38,69,True,0.473684,0.333333,-0.140351,0.263674,0.168366,0.5,0.55,20,20,False
2026-06-03,d5aec512d4e2,56a2dccf4366,4,2,flag,39,68,True,0.487179,0.323529,-0.16365,0.139986,0.125011,0.55,0.55,20,20,False
2026-06-29,56a2dccf4366,03fa47e1c436,2,2,threshold/parameter,56,51,True,0.482143,0.27451,-0.207633,0.049895,0.056464,0.55,0.45,20,20,True
2026-07-02,03fa47e1c436,0fea1355bf26,3,3,flag,59,48,True,0.508475,0.229167,-0.279308,0.011099,0.013794,0.55,0.3,20,20,True
2026-07-07,0fea1355bf26,03fa47e1c436,3,3,flag,60,47,True,0.516667,0.212766,-0.303901,0.0042,0.007776,0.5,0.25,20,20,True
2026-07-08,03fa47e1c436,181ae113b538,1,1,threshold/parameter,61,46,True,0.52459,0.195652,-0.328938,0.0017,0.004119,0.55,0.2,20,20,True
