effective_date,key,status,category,behavioural,old,new
2026-04-02,enable_multi_agent_reports,added,flag,True,null,true
2026-05-01,enable_fundamental_enrichment,changed,flag,True,false,true
2026-05-01,enable_multi_agent_reports,changed,flag,True,true,false
2026-05-01,enable_synthesis,changed,flag,True,true,false
2026-05-04,enable_fundamental_enrichment,changed,flag,True,true,false
2026-05-04,enable_multi_agent_reports,changed,flag,True,false,true
2026-05-04,enable_synthesis,changed,flag,True,false,true
2026-05-05,enable_fundamental_enrichment,changed,flag,True,false,true
2026-05-15,atr_elite_bear_max_score,added,threshold/parameter,True,null,79.9
2026-05-15,atr_elite_block_enabled,added,flag,True,null,true
2026-05-15,atr_elite_bull_max_score,added,threshold/parameter,True,null,84.9
2026-05-15,atr_sas_cap_enabled,added,flag,True,null,true
2026-05-15,atr_sas_component_cap,added,threshold/parameter,True,null,35.0
2026-05-15,flow_polarity_abstain_band,added,threshold/parameter,True,null,0.3
2026-05-15,flow_polarity_coverage_threshold,added,threshold/parameter,True,null,0.5
2026-05-15,flow_polarity_enabled,added,flag,False,null,false
2026-05-15,flow_polarity_megacap_dollar_volume,added,threshold/parameter,True,null,500000000.0
2026-05-15,flow_polarity_mild_align,added,threshold/parameter,True,null,0.3
2026-05-15,flow_polarity_min_premium_default,added,threshold/parameter,True,null,500000.0
2026-05-15,flow_polarity_min_premium_megacap,added,threshold/parameter,True,null,1000000.0
2026-05-15,flow_polarity_strong_align,added,threshold/parameter,True,null,0.7
2026-05-15,flow_polarity_vote_weight,added,threshold/parameter,True,null,1.3
2026-05-15,scoring_weights.catalyst_event,changed,weight,True,8.0,10.0
2026-05-15,scoring_weights.gex_alignment,changed,weight,True,12.0,0.0
2026-05-15,scoring_weights.projection,changed,weight,True,26.0,29.0
2026-05-15,scoring_weights.technical_structure,changed,weight,True,20.0,27.0
2026-06-02,enable_fundamental_enrichment,changed,flag,True,true,false
2026-06-02,enable_multi_agent_reports,changed,flag,True,true,false
2026-06-03,allow_bull_earnings_bonus,added,flag,False,null,false
2026-06-03,enable_fundamental_enrichment,changed,flag,True,false,true
2026-06-03,enable_multi_agent_reports,changed,flag,True,false,true
2026-06-03,regime_catalyst_gate_enabled,added,flag,False,null,false
2026-06-29,bear_max_output_cap,added,threshold/parameter,True,null,5
2026-06-29,bear_publish_threshold,added,threshold/parameter,True,null,80.0
2026-07-02,enable_fundamental_enrichment,changed,flag,True,true,false
2026-07-02,enable_multi_agent_reports,changed,flag,True,true,false
2026-07-02,enable_synthesis,changed,flag,True,true,false
2026-07-07,enable_fundamental_enrichment,changed,flag,True,false,true
2026-07-07,enable_multi_agent_reports,changed,flag,True,false,true
2026-07-07,enable_synthesis,changed,flag,True,false,true
2026-07-08,publication_floor,added,threshold/parameter,True,null,80.0
