trading_date,config_hash,excluded,market_regime_cfg_value
2026-04-01,31e4469fa4f4,,null
2026-04-02,6d5c0496833b,,null
2026-04-03,6d5c0496833b,non_session,null
2026-04-06,6d5c0496833b,,null
2026-04-07,6d5c0496833b,,null
2026-04-08,6d5c0496833b,,null
2026-04-09,6d5c0496833b,,null
2026-04-10,6d5c0496833b,,null
2026-04-13,6d5c0496833b,,null
2026-04-14,6d5c0496833b,,null
2026-04-15,6d5c0496833b,,null
2026-04-16,6d5c0496833b,,null
2026-04-17,6d5c0496833b,,null
2026-04-20,6d5c0496833b,,null
2026-04-21,6d5c0496833b,,null
2026-04-22,6d5c0496833b,,null
2026-04-23,6d5c0496833b,,null
2026-04-24,6d5c0496833b,,null
2026-04-27,6d5c0496833b,,null
2026-04-28,6d5c0496833b,,null
2026-04-29,6d5c0496833b,,null
2026-04-30,6d5c0496833b,,null
2026-05-01,7a553a06ade8,,null
2026-05-04,6d5c0496833b,,null
2026-05-05,33235596f733,,null
2026-05-06,33235596f733,,null
2026-05-07,33235596f733,,null
2026-05-08,33235596f733,,null
2026-05-11,63d149e9b025,manual_run,null
2026-05-12,63d149e9b025,manual_run,null
2026-05-13,139d421f274e,manual_run,null
2026-05-14,63d149e9b025,manual_run,null
2026-05-15,f7c5a4cb49be,,null
2026-05-18,f7c5a4cb49be,,null
2026-05-19,f7c5a4cb49be,,null
2026-05-20,f7c5a4cb49be,,null
2026-05-21,f7c5a4cb49be,,null
2026-05-22,f7c5a4cb49be,,null
2026-05-26,f7c5a4cb49be,,null
2026-05-27,f7c5a4cb49be,,null
2026-05-28,f7c5a4cb49be,,null
2026-05-29,f7c5a4cb49be,,null
2026-06-01,f7c5a4cb49be,,null
2026-06-02,d5aec512d4e2,,null
2026-06-03,56a2dccf4366,,null
2026-06-04,56a2dccf4366,,null
2026-06-05,56a2dccf4366,,null
2026-06-08,56a2dccf4366,,null
2026-06-09,56a2dccf4366,,null
2026-06-10,56a2dccf4366,,null
2026-06-11,56a2dccf4366,,null
2026-06-12,56a2dccf4366,,null
2026-06-15,56a2dccf4366,,null
2026-06-16,56a2dccf4366,,null
2026-06-17,56a2dccf4366,,null
2026-06-18,56a2dccf4366,,null
2026-06-22,56a2dccf4366,,null
2026-06-23,56a2dccf4366,,null
2026-06-24,56a2dccf4366,,null
2026-06-25,56a2dccf4366,,null
2026-06-26,56a2dccf4366,,null
2026-06-29,03fa47e1c436,,null
2026-06-30,03fa47e1c436,,null
2026-07-01,03fa47e1c436,,null
2026-07-02,0fea1355bf26,,null
2026-07-06,03fa47e1c436,manual_run,null
2026-07-07,03fa47e1c436,,null
2026-07-08,181ae113b538,,null
2026-07-09,181ae113b538,,null
2026-07-10,181ae113b538,,null
2026-07-13,181ae113b538,,null
2026-07-14,181ae113b538,,null
2026-07-15,181ae113b538,,null
2026-07-16,181ae113b538,,null
2026-07-17,181ae113b538,,null
2026-07-20,181ae113b538,,null
2026-07-21,181ae113b538,,null
2026-07-22,181ae113b538,,null
2026-07-23,181ae113b538,,null
2026-07-24,181ae113b538,,null
2026-07-27,181ae113b538,,null
2026-07-28,181ae113b538,,null
2026-07-29,181ae113b538,,null
2026-07-30,181ae113b538,,null
2026-07-31,181ae113b538,,null
2026-08-03,181ae113b538,,null
2026-08-04,181ae113b538,,null
2026-08-05,181ae113b538,,null
2026-08-06,181ae113b538,,null
2026-08-07,181ae113b538,,null
2026-08-10,181ae113b538,,null
2026-08-11,181ae113b538,,null
2026-08-12,181ae113b538,,null
2026-08-13,181ae113b538,,null
2026-08-14,181ae113b538,,null
2026-08-17,181ae113b538,,null
2026-08-18,181ae113b538,,null
2026-08-19,181ae113b538,,null
2026-08-20,181ae113b538,,null
2026-08-21,181ae113b538,,null
2026-08-24,181ae113b538,,null
2026-08-25,181ae113b538,,null
2026-08-26,181ae113b538,,null
2026-08-27,181ae113b538,,null
2026-08-28,181ae113b538,,null
2026-08-31,181ae113b538,,null
2026-09-01,181ae113b538,,null
2026-09-02,181ae113b538,,null
2026-09-03,181ae113b538,,null
2026-09-04,181ae113b538,,null
2026-09-08,181ae113b538,,null
2026-09-09,181ae113b538,,null
2026-09-10,181ae113b538,,null
