cell,n_nights,n_candidates,elite_candidate,elite_published,n_published,status,elite_cand_per_night,ci_lo,ci_hi,N_per_night,N_ci_lo,N_ci_hi,elite_pub_per_night,pub_ci_lo,pub_ci_hi,month,DATA_NOTES_raw_published_elite_all_runs,raw_elite_candidate_all_runs
Apr,21,1270,8,8,168,ok,0.380952,0.142857,0.666667,60.47619,57.190476,63.857143,0.380952,0.142857,0.666667,2026-04,8.0,8.0
May,16,808,9,9,128,SUPPRESSED,,,,,,,,,,2026-05,13.0,13.0
Jun,21,1061,12,12,171,ok,0.571429,0.333333,0.809524,50.52381,49.428571,51.47619,0.571429,0.333333,0.809524,2026-06,12.0,12.0
Jul,21,1313,7,7,174,ok,0.333333,0.142857,0.52381,62.52381,61.0,63.857143,0.333333,0.142857,0.52381,2026-07,8.0,8.0
Aug,21,1330,3,3,171,ok,0.142857,0.0,0.333333,63.333333,62.284524,64.380952,0.142857,0.0,0.333333,2026-08,3.0,3.0
Sep(1-10),7,429,2,2,62,SUPPRESSED,,,,,,,,,,2026-09,2.0,2.0
P0 (Apr1-Jun30),58,3139,29,29,467,ok,0.5,0.344828,0.655172,54.12069,52.448276,55.948276,0.5,0.344828,0.655172,,,
P1 (Jul1-Sep10),49,3072,12,12,407,ok,0.244898,0.142857,0.367347,62.693878,61.877041,63.469388,0.244898,0.142857,0.367347,,,
in_sample (<=05-29),37,2078,17,17,296,ok,0.459459,0.27027,0.648649,56.162162,53.810811,58.811486,0.459459,0.27027,0.648649,,,
sealed (>=06-01),70,4133,24,24,578,ok,0.342857,0.228571,0.471429,59.042857,57.542143,60.485714,0.342857,0.228571,0.471429,,,
ALL,107,6211,41,41,874,ok,0.383178,0.280374,0.485981,58.046729,56.71028,59.392523,0.383178,0.280374,0.485981,,,
