trading_date,period,month,calendar_split,n_candidates,elite_candidate,elite_candidate_share,n_published,elite_published,score_p50,score_p90,score_max,spy_ret20,spy_rv20,spy_stratum,regime_v12_pit,config_hash,n_src_projection_bearish,n_src_projection_bearish_v2,n_src_projection_bullish,n_src_uoa_day,n_src_uoa_long,n_src_uoa_swing,n_src_whale_watch
2026-04-01,P0,2026-04,in_sample,67,1,0.014925,8,1,66.296,76.75342,91.2887,-0.043627,0.189954,down_tape,,31e4469fa4f4,15,0,15,10,5,10,20
2026-04-02,P0,2026-04,in_sample,67,1,0.014925,8,1,62.14,77.9162,90.1472,-0.037399,0.189828,down_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-06,P0,2026-04,in_sample,68,2,0.029412,8,2,61.78615,76.44936,91.4229,-0.020004,0.186316,down_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-07,P0,2026-04,in_sample,65,0,0.0,8,0,62.8181,78.89754,87.3478,-0.028086,0.182865,down_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-08,P0,2026-04,in_sample,68,1,0.014706,8,1,65.49105,78.02335,91.6437,-0.001728,0.205746,down_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-09,P0,2026-04,in_sample,69,0,0.0,8,0,66.2253,76.26304,85.8832,0.005293,0.206719,up_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-10,P0,2026-04,in_sample,63,0,0.0,8,0,71.2548,81.844,89.3034,0.020118,0.198466,up_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-13,P0,2026-04,in_sample,68,0,0.0,8,0,64.61465,74.37528,80.8908,0.035951,0.199127,up_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-14,P0,2026-04,in_sample,71,0,0.0,8,0,67.8105,74.0413,85.394,0.03801,0.200353,up_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-15,P0,2026-04,in_sample,67,0,0.0,8,0,63.7531,73.30662,78.8225,0.043456,0.201475,up_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-16,P0,2026-04,in_sample,69,0,0.0,8,0,65.8666,77.309,83.4855,0.060823,0.192201,up_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-17,P0,2026-04,in_sample,65,0,0.0,8,0,66.0928,78.59138,89.3326,0.076296,0.193653,up_tape,,6d5c0496833b,15,0,15,10,5,10,20
2026-04-20,P0,2026-04,in_sample,51,1,0.019608,8,1,68.8598,79.605,90.2964,0.092742,0.178926,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-21,P0,2026-04,in_sample,50,1,0.02,8,1,70.89595,77.41779,92.1123,0.074308,0.181519,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-22,P0,2026-04,in_sample,51,0,0.0,8,0,67.7461,78.5334,83.7643,0.088842,0.180965,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-23,P0,2026-04,in_sample,53,1,0.018868,8,1,69.6614,79.71034,91.2265,0.078606,0.183157,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-24,P0,2026-04,in_sample,50,0,0.0,8,0,71.74775,80.07683,86.9956,0.106729,0.164339,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-27,P0,2026-04,in_sample,52,0,0.0,8,0,70.43315,78.23345,85.6365,0.127868,0.142623,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-28,P0,2026-04,in_sample,51,0,0.0,8,0,70.5392,78.9603,89.2067,0.126145,0.14405,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-29,P0,2026-04,in_sample,51,0,0.0,8,0,71.073,80.3682,88.2277,0.094166,0.117688,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-04-30,P0,2026-04,in_sample,54,0,0.0,8,0,66.4315,75.1356,81.4176,0.096789,0.1188,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-05-01,P0,2026-05,in_sample,52,1,0.019231,8,1,69.3323,79.32079,95.7642,0.098837,0.118209,up_tape,,7a553a06ade8,15,0,15,10,5,10,0
2026-05-04,P0,2026-05,in_sample,53,1,0.018868,8,1,67.2731,78.64698,90.2128,0.089661,0.121896,up_tape,,6d5c0496833b,15,0,15,10,5,10,0
2026-05-05,P0,2026-05,in_sample,51,2,0.039216,8,2,69.4756,80.6378,96.7352,0.097919,0.121677,up_tape,,33235596f733,15,0,15,10,5,10,0
2026-05-06,P0,2026-05,in_sample,53,1,0.018868,8,1,66.8049,82.46798,90.0095,0.085531,0.101308,up_tape,,33235596f733,15,0,15,10,5,10,0
2026-05-07,P0,2026-05,in_sample,49,1,0.020408,8,1,69.1831,82.89306,91.353,0.075995,0.104203,up_tape,,33235596f733,15,0,15,10,5,10,0
2026-05-08,P0,2026-05,in_sample,51,1,0.019608,8,1,67.8663,83.6464,95.9768,0.085597,0.104085,up_tape,,33235596f733,15,0,15,10,5,10,0
2026-05-15,P0,2026-05,in_sample,53,0,0.0,8,0,69.5711,81.21276,85.8287,0.040879,0.107256,up_tape,,f7c5a4cb49be,15,0,15,10,5,10,0
2026-05-18,P0,2026-05,in_sample,51,0,0.0,8,0,63.1766,78.9794,88.8378,0.042231,0.106711,up_tape,,f7c5a4cb49be,15,0,15,10,5,10,0
2026-05-19,P0,2026-05,in_sample,50,0,0.0,8,0,66.448,79.33344,87.3737,0.042112,0.106834,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-05-20,P0,2026-05,in_sample,53,1,0.018868,8,1,68.2157,82.33082,90.2459,0.042238,0.106956,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-05-21,P0,2026-05,in_sample,49,0,0.0,8,0,63.8365,82.84712,87.3719,0.048373,0.104624,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-05-22,P0,2026-05,in_sample,51,0,0.0,8,0,71.8548,83.7036,85.1725,0.044401,0.102899,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-05-26,P0,2026-05,in_sample,45,0,0.0,8,0,76.4093,83.5599,88.9818,0.049527,0.104075,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-05-27,P0,2026-05,in_sample,51,0,0.0,8,0,74.6484,83.4262,89.7504,0.054476,0.100996,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-05-28,P0,2026-05,in_sample,49,0,0.0,8,0,71.7242,83.12782,88.3849,0.060457,0.100907,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-05-29,P0,2026-05,in_sample,47,1,0.021277,8,1,67.0741,83.53992,91.7436,0.052626,0.097493,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-06-01,P0,2026-06,sealed,49,1,0.020408,8,1,63.5226,81.8681,91.19,0.052578,0.097492,up_tape,,f7c5a4cb49be,0,15,15,10,5,10,0
2026-06-02,P0,2026-06,sealed,45,1,0.022222,8,1,66.8328,85.47294,92.7684,0.057882,0.094826,up_tape,,d5aec512d4e2,0,15,15,10,5,10,0
2026-06-03,P0,2026-06,sealed,45,2,0.044444,8,2,70.5316,84.10662,92.2382,0.042099,0.098868,up_tape,,56a2dccf4366,0,15,15,10,5,10,0
2026-06-04,P0,2026-06,sealed,49,0,0.0,8,0,72.1822,82.91824,84.2236,0.031697,0.088985,up_tape,,56a2dccf4366,0,15,15,10,5,10,0
2026-06-05,P0,2026-06,sealed,52,0,0.0,8,0,72.8201,82.98908,85.3454,0.00816,0.13215,up_tape,,56a2dccf4366,0,15,15,10,5,10,0
2026-06-08,P0,2026-06,sealed,52,0,0.0,8,0,70.3228,82.11201,85.8164,0.002169,0.129134,up_tape,,56a2dccf4366,0,15,15,10,5,10,0
2026-06-09,P0,2026-06,sealed,50,0,0.0,8,0,63.6589,80.87744,82.4832,-0.003043,0.1293,down_tape,bullish,56a2dccf4366,0,15,15,10,5,10,0
2026-06-10,P0,2026-06,sealed,50,1,0.02,8,1,75.26105,83.17304,92.9226,-0.017272,0.140862,down_tape,bullish,56a2dccf4366,0,15,15,10,5,10,0
2026-06-11,P0,2026-06,sealed,52,0,0.0,8,0,64.95975,80.46352,81.4796,-0.00613,0.152882,down_tape,bullish,56a2dccf4366,0,15,15,10,5,10,0
2026-06-12,P0,2026-06,sealed,52,0,0.0,8,0,74.87135,81.49084,87.7295,-0.008581,0.151376,down_tape,strongly_bullish,56a2dccf4366,0,15,15,10,5,10,0
2026-06-15,P0,2026-06,sealed,50,1,0.02,8,1,77.97285,83.93407,90.2102,0.021186,0.157425,up_tape,strongly_bullish,56a2dccf4366,0,15,15,10,5,10,0
