target,stratifier,period,stratum,n_nights,mean,lo,hi,status
elite_candidate_per_night,market_regime_daily_v1.2_PIT(>=06-09),ALL,bullish,14,,,,SUPPRESSED
elite_candidate_per_night,market_regime_daily_v1.2_PIT(>=06-09),ALL,strongly_bullish,50,0.34,0.22,0.48,ok
elite_candidate_per_night,market_regime_daily_v1.2_PIT(>=06-09),P0,bullish,7,,,,SUPPRESSED
elite_candidate_per_night,market_regime_daily_v1.2_PIT(>=06-09),P0,strongly_bullish,8,,,,SUPPRESSED
elite_candidate_per_night,market_regime_daily_v1.2_PIT(>=06-09),P1,bullish,7,,,,SUPPRESSED
elite_candidate_per_night,market_regime_daily_v1.2_PIT(>=06-09),P1,strongly_bullish,42,0.261905,0.142857,0.404762,ok
elite_candidate_per_night,spy_tape_20d,ALL,down_tape,28,0.464286,0.285714,0.678571,ok
elite_candidate_per_night,spy_tape_20d,ALL,up_tape,79,0.35443,0.240506,0.468354,ok
elite_candidate_per_night,spy_tape_20d,P0,down_tape,15,,,,SUPPRESSED
elite_candidate_per_night,spy_tape_20d,P0,up_tape,43,0.465116,0.302326,0.651163,ok
elite_candidate_per_night,spy_tape_20d,P1,down_tape,13,,,,SUPPRESSED
elite_candidate_per_night,spy_tape_20d,P1,up_tape,36,0.222222,0.111111,0.361111,ok
elite_share_of_candidates,market_regime_daily_v1.2_PIT(>=06-09),ALL,bullish,14,,,,SUPPRESSED
elite_share_of_candidates,market_regime_daily_v1.2_PIT(>=06-09),ALL,strongly_bullish,50,0.005999,0.003731,0.008356,ok
elite_share_of_candidates,market_regime_daily_v1.2_PIT(>=06-09),P0,bullish,7,,,,SUPPRESSED
elite_share_of_candidates,market_regime_daily_v1.2_PIT(>=06-09),P0,strongly_bullish,8,,,,SUPPRESSED
elite_share_of_candidates,market_regime_daily_v1.2_PIT(>=06-09),P1,bullish,7,,,,SUPPRESSED
elite_share_of_candidates,market_regime_daily_v1.2_PIT(>=06-09),P1,strongly_bullish,42,0.004309,0.002289,0.006586,ok
elite_share_of_candidates,spy_tape_20d,ALL,down_tape,28,0.007929,0.004635,0.011511,ok
elite_share_of_candidates,spy_tape_20d,ALL,up_tape,79,0.0067,0.004392,0.00903,ok
elite_share_of_candidates,spy_tape_20d,P0,down_tape,15,,,,SUPPRESSED
elite_share_of_candidates,spy_tape_20d,P0,up_tape,43,0.00931,0.005877,0.012934,ok
elite_share_of_candidates,spy_tape_20d,P1,down_tape,13,,,,SUPPRESSED
elite_share_of_candidates,spy_tape_20d,P1,up_tape,36,0.003582,0.00173,0.005842,ok
n_candidates_per_night,market_regime_daily_v1.2_PIT(>=06-09),ALL,bullish,14,,,,SUPPRESSED
n_candidates_per_night,market_regime_daily_v1.2_PIT(>=06-09),ALL,strongly_bullish,50,60.8,59.28,62.16,ok
n_candidates_per_night,market_regime_daily_v1.2_PIT(>=06-09),P0,bullish,7,,,,SUPPRESSED
n_candidates_per_night,market_regime_daily_v1.2_PIT(>=06-09),P0,strongly_bullish,8,,,,SUPPRESSED
n_candidates_per_night,market_regime_daily_v1.2_PIT(>=06-09),P1,bullish,7,,,,SUPPRESSED
n_candidates_per_night,market_regime_daily_v1.2_PIT(>=06-09),P1,strongly_bullish,42,62.666667,61.666667,63.595238,ok
n_candidates_per_night,spy_tape_20d,ALL,down_tape,28,58.571429,56.249107,60.892857,ok
n_candidates_per_night,spy_tape_20d,ALL,up_tape,79,57.860759,56.303481,59.481329,ok
n_candidates_per_night,spy_tape_20d,P0,down_tape,15,,,,SUPPRESSED
n_candidates_per_night,spy_tape_20d,P0,up_tape,43,53.302326,51.488372,55.302326,ok
n_candidates_per_night,spy_tape_20d,P1,down_tape,13,,,,SUPPRESSED
n_candidates_per_night,spy_tape_20d,P1,up_tape,36,63.305556,62.527778,64.083333,ok
elite_published_per_night,market_regime_daily_v1.2_PIT(>=06-09),ALL,bullish,14,,,,SUPPRESSED
elite_published_per_night,market_regime_daily_v1.2_PIT(>=06-09),ALL,strongly_bullish,50,0.34,0.22,0.48,ok
elite_published_per_night,market_regime_daily_v1.2_PIT(>=06-09),P0,bullish,7,,,,SUPPRESSED
elite_published_per_night,market_regime_daily_v1.2_PIT(>=06-09),P0,strongly_bullish,8,,,,SUPPRESSED
elite_published_per_night,market_regime_daily_v1.2_PIT(>=06-09),P1,bullish,7,,,,SUPPRESSED
elite_published_per_night,market_regime_daily_v1.2_PIT(>=06-09),P1,strongly_bullish,42,0.261905,0.142857,0.404762,ok
elite_published_per_night,spy_tape_20d,ALL,down_tape,28,0.464286,0.285714,0.678571,ok
elite_published_per_night,spy_tape_20d,ALL,up_tape,79,0.35443,0.240506,0.468354,ok
elite_published_per_night,spy_tape_20d,P0,down_tape,15,,,,SUPPRESSED
elite_published_per_night,spy_tape_20d,P0,up_tape,43,0.465116,0.302326,0.651163,ok
elite_published_per_night,spy_tape_20d,P1,down_tape,13,,,,SUPPRESSED
elite_published_per_night,spy_tape_20d,P1,up_tape,36,0.222222,0.111111,0.361111,ok
