night,b_t,n_t,m_t,B_t_before_censor,ungradeable,ungradeable_pct,fwd_sessions,U_t_all,excluded_run,B_t_cov_pct,contributing
2026-06-01,2375,49,1149,2386,11,0.46,20,49,False,99.21,True
2026-06-02,2375,45,1172,2384,9,0.38,20,45,False,99.13,True
2026-06-03,2373,45,1328,2384,11,0.46,20,45,False,99.13,True
2026-06-04,2373,48,1214,2384,11,0.46,20,49,False,99.13,True
2026-06-05,2373,51,1314,2384,11,0.46,20,52,False,99.13,True
2026-06-08,2373,52,1325,2384,11,0.46,20,52,False,99.13,True
2026-06-09,2372,49,1167,2384,12,0.5,20,50,False,99.13,True
2026-06-10,2371,49,1214,2384,13,0.55,20,50,False,99.13,True
2026-06-11,2368,51,1071,2383,15,0.63,20,52,False,99.09,True
2026-06-12,2369,52,970,2382,13,0.55,20,52,False,99.04,True
2026-06-15,2365,50,1044,2382,17,0.71,20,50,False,99.04,True
2026-06-16,2365,51,1111,2380,15,0.63,20,51,False,98.96,True
2026-06-17,2365,51,1279,2380,15,0.63,20,52,False,98.96,True
2026-06-18,2364,51,1135,2380,16,0.67,20,51,False,98.96,True
2026-06-22,2362,53,1155,2379,17,0.71,20,53,False,98.92,True
2026-06-23,2361,51,1032,2378,17,0.71,20,51,False,98.88,True
2026-06-24,2361,50,894,2377,16,0.67,20,51,False,98.84,True
2026-06-25,2359,54,840,2376,17,0.72,20,55,False,98.79,True
2026-06-26,2357,52,634,2375,18,0.76,20,52,True,98.75,False
2026-06-29,2358,52,710,2374,16,0.67,20,52,False,98.71,True
2026-06-30,2359,47,787,2375,16,0.67,20,47,False,98.75,True
2026-07-01,2357,52,666,2372,15,0.63,20,52,False,98.63,True
2026-07-02,2358,61,609,2371,13,0.55,20,61,True,98.59,False
2026-07-06,2356,62,639,2371,15,0.63,20,62,True,98.59,False
2026-07-07,2355,63,695,2370,15,0.63,20,63,False,98.54,True
2026-07-08,2355,68,877,2370,15,0.63,20,68,False,98.54,True
2026-07-09,2355,60,853,2369,14,0.59,20,60,False,98.5,True
2026-07-10,2355,59,891,2369,14,0.59,20,59,False,98.5,True
2026-07-13,2355,65,871,2368,13,0.55,20,65,False,98.46,True
2026-07-14,2355,64,931,2365,10,0.42,20,64,False,98.34,True
2026-07-15,2355,66,912,2363,8,0.34,20,66,False,98.25,True
2026-07-16,2353,67,786,2362,9,0.38,20,67,False,98.21,True
2026-07-17,2352,64,857,2362,10,0.42,20,64,False,98.21,True
2026-07-20,2349,62,969,2362,13,0.55,20,62,False,98.21,True
2026-07-21,2348,65,920,2360,12,0.51,20,65,False,98.13,True
2026-07-22,2348,63,1016,2360,12,0.51,20,63,False,98.13,True
2026-07-23,2348,63,1074,2359,11,0.47,20,63,False,98.09,True
2026-07-24,2348,63,1008,2358,10,0.42,20,63,False,98.05,True
2026-07-27,2348,62,886,2357,9,0.38,20,62,False,98.0,True
2026-07-28,2347,63,785,2357,10,0.42,20,63,False,98.0,True
2026-07-29,2347,63,872,2357,10,0.42,20,63,False,98.0,True
2026-07-30,2346,58,808,2356,10,0.42,20,58,False,97.96,True
2026-07-31,2346,61,823,2356,10,0.42,20,62,False,97.96,True
2026-08-03,2347,64,665,2355,8,0.34,20,64,False,97.92,True
2026-08-04,2347,63,553,2354,7,0.3,20,63,False,97.88,True
2026-08-05,2347,64,557,2353,6,0.25,20,64,False,97.84,True
2026-08-06,2344,66,513,2353,9,0.38,20,66,False,97.84,True
2026-08-07,2343,65,412,2353,10,0.42,20,66,False,97.84,True
2026-08-10,2342,61,379,2353,11,0.47,20,62,False,97.84,True
2026-08-11,2343,64,354,2353,10,0.42,20,65,False,97.84,True
2026-08-12,2342,68,332,2352,10,0.43,20,68,False,97.8,True
